,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
0,Binti,2021,105 min,"
Drama            ",7.5,NA,Seko Shamte,"Bertha Robert,Magdalena Munisi,Helen Hartmann,Godliver Gordian",81,Four Tanzanian women are unknowingly connected through their ability to persevere extreme hardships in the city of Dar-es-Salaam.
1,Fatuma,2018,79 min,"
Drama            ",NA,NA,Jordan Riber,"Ayoub Bombwe,Cathryn Credo,Beatrice Taisamo",NA,"A traditional rural woman has always risked body and soul, without reward or thanks, to farm her husband's land and keep the family fed and cared for. She fights unfavourable weather, pests...                See full summary »"
2,After the Harvest II,,90 min,"
Drama, Romance, Thriller            ",NA,NA,Henry Mason,"Kim Bodnia,Saffron Burrows,Adelaide Clemens,Russell Tovey",NA,"A devastating, life-changing experience leads to a dangerous encounter."
3,Bahasha,2018,85 min,"
Drama            ",7.1,NA,Jordan Riber,"Ayoub Bombwe,Cathryn Credo,Godliver Gordian",17,"Bahasha is the story of Kitasa, an elected public official who betrays his family, friends and community when he takes an easy bribe. He learns the hard way and must now find the road to redemption."
4,In Defense of Food,2015 TV Movie,117 min,"
Documentary            ",7.7,NA,Michael Schwarz,"Michael Pollan,Stephen Ritz",757,In Defense of Food tackles a question more and more people around the world have been asking: What should I eat to be healthy? Based on award-winning journalist Michael Pollan's ...                See full summary »
5,Jonah,II 2013,17 min,"
Short, Drama, Fantasy            ",6.7,NA,Kibwe Tavares,"Daniel Kaluuya,Malachi Kirby,Louis Mahoney",319,Mbwana and his best friend Juma are two young men with big dreams. These dreams become reality when they photograph a gigantic fish leaping out of the sea and their small town blossoms into...                See full summary »
6,Vuta N'Kuvute,2021,92 min,"
Romance            ",7.9,NA,Amil Shivji,"Siti Amina,Gudrun Columbus Mwanyika,Ikhlas Gafur Vora",13,A rebellious young revolutionary becomes involved with a young Indian-Zanzibari girl escaping an oppressive arranged marriage.
7,Planetary,2015,85 min,"
Documentary, History            ",6.9,NA,Guy Reid,"Steve Watts Kennedy,Janine Benyus,Ronald Garan,Joan Halifax,Paul Hawken",383,"We are in the midst of a global crisis of perspective. We have forgotten the undeniable truth that everything is connected. PLANETARY is a provocative and breathtaking wakeup call, a cross ...                See full summary »"
8,Homecoming,I 2016,90 min,"
Comedy, Drama, Mystery            ",7.6,NA,Seko Shamte,"Doug Bramsen,Godliver Gordian,Hashim Kambi,Daniel Kijo",13,"Abel returns home after graduating and working in the US for 10 years and joins the Tanzanian corporate world where his ethics and morals are tested, and forced to make choices about the person he wants to become."
9,Peponi,,NA,"
Crime, Drama, Romance            ",NA,NA,Nicholas Marwa,"Helen Hartmann,Shirleen Wangari,Ernest Napoleon,Mwakalindile Isarito",NA,Young African man trying to escape poverty ends up working in a corrupt and dangerous organization.
10,White Shadow,2013,117 min,"
Drama            ",6.4,NA,Noaz Deshe,"Hamisi Bazili,James Gayo,Glory Mbayuwayu,Salum Abdallah",388,"The story of Alias, a young Albino on the run, hunted by local witch doctors who use Albinos body parts for their potions."
11,Father Africa,2017,105 min,"
Family, Sport            ",8.7,NA,Chase Crittenden,"Paul Johansson,Benjamin A. Onyango,Thomas Waywell,Alan O'Silva",33,"A coming-of-age story that follows the main character, Cameron, as he goes on a journey to meet his real father who he recently discovers is Tanzanian, which opens his eyes to the world, race, and to love. Through a series of events, he realizes you never know who you are until you really know who you are."
12,Jane's Journey,2010,107 min,"
Documentary, Biography            ",7.3,49        ,Lorenz Knauer,"Angelina Jolie,Pierce Brosnan,Jane Goodall,Dale Peterson",328,"More than 20 years ago, Dr. Jane Goodall, now 75, decided to give up her career as a primatologist, as well as her private life, in order to devote all her energy to saving our endangered ...                See full summary »"
13,Pili,I 2017,85 min,"
Drama            ",6.6,NA,Leanne Welham,"Bello Rashid,Nkwabi Elias Ng'angasamala,Sesilia Florian Kilimila,Sikijua Rashid",209,"In Tanzania, a single mother is offered the chance to improve her circumstances, but the risks she faces have deepening consequences as she struggles to keep her HIV-positive status secret."
14,Magic House,2009,85 min,"
Horror            ",NA,NA,Mtitu G. Game,"Nargis Mohamed,Steven Kanumba,Abdul Ahmed,Hamis Abdallah",NA,Add a Plot
15,People of the Forest: The Chimps of Gombe,1988 TV Movie,NA,"
Documentary            ",8.8,NA,Hugo Van Lawick,"Flo,Donald Sutherland,Jane Goodall",101,Add a Plot
16,Chumo,2011,44 min,"
Short, Drama            ",6.9,NA,Jordan Riber,"Jaffari Makatu,Yusuph Milela,Hussein Mkiety,Jokate Mwegelo",7,"Juma is a poor fisherman who loves telling tales. Amina is the girl who loves to hear his stories. They long to be together, but Amina's father, Ali, wants a better life for her. Ali thinks...                See full summary »"
17,Mkwawa,2011,72 min,"
Documentary            ",NA,NA,Seko Shamte,"Mutaju Isaac Marobhe,Paul Clithero,Doug Bramsen,Godfrey Angelos Augustino",NA,"Chief Mkwawa of the Muyinga dynasty, the conqueror of lands, whose royal bloodline gained him favor with Nguluvi, the Hehe God and made him the most superior chief to have ruled the ...                See full summary »"
18,Tunu: The Gift,2017,85 min,"
Drama            ",9.0,NA,Jordan Riber,"Ibrahim Osward,Monica Sizya,Jacob Steven",6,Who are you without a home?
19,Going Bongo,2015,90 min,"
Comedy, Drama            ",8.4,NA,Dean Matthew Ronalds,"Ernest Napoleon,Emanuela Galliussi,Ashley Olds,Nyokabi Gethaiga",41,"A newly recruited American doctor ""mistakenly"" volunteers to work in Africa for a month."
20,Last Migration,2015,60 min,"
Adventure, Drama            ",NA,NA,Chase Sui Wonders,"Grant Sui Wonders,Clark Sui Wonders,Chase Sui Wonders,Olivia Sui,Jeannie Sui Wonders,Clark Sui Wonders",NA,Some people only dream of running away
21,King of Beasts,2018,86 min,"
Documentary, Action, Adventure            ",5.5,NA,Tomer Almagor,Nadav Harel,63,"The story of lion trophy hunters in Africa. KING OF BEASTS offers a close-up on the world of the controversial 'sport"" of lion hunting."
22,Magic Pills,2017,90 min,"
Documentary            ",7.6,NA,Ananda More,,15,"After being framed by the media, filmmaker and homeopath Ananda More crisscrosses the world to meet with scientists, practitioners, and patients to learn whether homeopathy is science-based...                See full summary »"
23,Alive & Well,2013,75 min,"
Documentary, Biography            ",8.0,NA,Josh Taft,"Trey Grey,Michael Hayden,Charles Sabine",32,"ALIVE AND WELL is a powerful documentary film about the human condition, which follows seven resilient people coming to terms with the profound reality of living with the hereditary chronic illness known as Huntington's Disease."
24,Talking About Adultery,2019,72 min,"
Documentary, Animation, Biography            ",6.5,NA,Bara Jichova Tyson,"Iva Gocheva,Caleb Hammond,Becca Lewis",24,"Love is to have, desire is to want. TALKING ABOUT ADULTERY is a documentary essay about the human struggle for both. A film about what marriage means in today's world and what is it that we all strive for."
25,Sharing the Rough,2015,85 min,"
Documentary, Adventure, Drama            ",8.0,NA,Orin Mazzoni,"Roger Dery,June Stahl,Gichuchu Okeno,Charles Carmona",11,Documents the never before captured process of the journey of a colored gemstone from mine to market while exploring the challenges of an emerging mining economy in East Africa.
26,Man in the Camo Jacket,2017,80 min,"
Documentary, Biography, Drama            ",8.1,NA,Russ Kendall,"Fred Armisen,Richard Blade,Billy Bragg,Billy Corgan",37,"The story of iconic Welsh rock musician Mike Peters (of The Alarm), his rise to fame, battle with cancer, and inspiring climb back as he enlists some of the world's top musicians to help ...                See full summary »"
27,Sons of Africa,2014,57 min,"
Documentary, Adventure, Biography            ",6.4,NA,James Becket,"Jaffar Amin,James Becket,Madaraka Nyerere",7,"Uganda's Idi Amin and Tanzania's Julius Nyerere were bitter enemies who went to war in 1978. Today, the dictator Amin is reviled as the 'Butcher of Uganda', while the socialist Nyerere is ...                See full summary »"
28,"Maisha, Maisha Tu",2015,57 min,"
Drama            ",NA,NA,Yann Labry,"Ahmed Olotu,Ahmed Zein,Ashraf Lukamba,Ayubu Juma",NA,"Shot in Tanzania, this feature film shows four different life stories - stories of challenges, opportunities and second chances."
29,Midnight,IV 2018,6 min,"
Short, Comedy            ",NA,NA,Seko Shamte,"Iman Lipumba,Tamala Maerere,Angela Ruhinda",NA,"On a late night, two best friends engage in a philosophical discussion while avoiding the real issue in their lives."
30,Asante Sana,2017,NA,"
Drama, Horror            ",NA,NA,Timoth Conrad,"Richard Belly,William Benard,Hassan Daffur,Michael Emanuel",NA,"After completing his education, Ron decides to develop his late father's production company. Unexpectedly, Ron is forced to disclose his father's mysterious."
31,Blood River Crossing,2013 TV Movie,46 min,"
Documentary            ",8.2,NA,Richard Slater Jones,"Richard Slater-Jones,Graeme Duane,Giancarlo Esposito",9,"In the most brutal migration on the planet, ride shotgun with ZuluEchoFive and FoxtrotOne, a zebra mother and her son. They run the gauntlet through crocodile infested rivers and lion ...                See full summary »"
32,A Lot Like You,2012,80 min,"
Documentary, Biography, Drama            ",8.1,NA,Eliaichi Kimaro,,43,"When Eliaichi's retired father moves back to Tanzania, she begins a film project that examines the intricate fabric of multiracial identity, and grapples with the complex ties that children have to the cultures of their parents."
33,Maangamizi: The Ancient One,2001,110 min,"
Drama            ",7.1,NA,Martin Mhando,"Ron Mulvihill,Barbarao,Amandina Lihamba,Samahani Kejeri,Waigwa Wachira",69,"An American woman doctor comes to Tanzania to work at a hospital for the mentally disturbed, with her Tanzanian lover. There, she meets a sometimes catatonic patient, Samahe, who seems to ...                See full summary »"
34,Shadow Tree,2014,15 min,"
Short            ",NA,NA,Biju Viswanath,"Faridi Saad,Muhammed Suhail",NA,"When a Zanzibari boy finds a fish in muddy water, the challenge of keeping it alive pushes him in an unexpected direction, which turns out to be the ultimate test of his faith in the universe."
35,Ejersbo,2015,75 min,"
Documentary            ",6.7,NA,Christian Bonke,,33,The life story of the famous danish author Jakob Ejersbo is told as his two friends are struggling to reach the top of Kilimanjaro to spread his ashes from there.
36,Vessel,II 2014,90 min,"
Documentary, Adventure, Biography            ",7.6,68        ,Diana Whitten,"Rebecca Gomperts,Kinga Jelinski,Cecilia Costa,Gunilla Kleiverda",231,"A fearless sea captain sails a ship through loopholes in international law, providing abortions on the high seas, and leaving in her wake a network of emboldened activists who trust women to handle abortion on their own terms."
37,Sema,2018,94 min,"
Drama, Horror            ",8.6,NA,Timoth Conrad,"Hassan Daffur,Anastasia Exavery,Justine Thomas Jamvia,Serafin Kweka",9,A thief finds himself stuck in the house where Mary and her entire family were killed two years ago; Maria's ghost shows him the house's dark past and ask him to tell the hidden truth.
38,Quem se importa,2013,92 min,"
Documentary, Drama, History            ",7.8,NA,Mara Mourão,Rodrigo Santoro,87,"WHO CARES is a 93-minute High Definition feature documentary about social entrepreneurs around the world. People who are making changes, bringing solutions, generating huge social impact ...                See full summary »"
39,Kiumeni,2017,88 min,"
Comedy            ",9.2,NA,Nicholas Marwa,"Antu Mendoza,Ernest Napoleon,Irene Paul,Idris Sultan",17,"Set in Dar es Salaam, this local comedy juxtaposes poverty and wealth when an affluent young man is obligated to visit his girlfriend's home in a poor neighborhood."
40,Uhuru,2016,60 min,"
Documentary            ",NA,NA,Tom Gentle,,NA,"Uhuru is not a story; it is a right. A chance for hundred of thousands of voiceless people in Tanzania to have a platform. Here, a group of people with a variety of impairments reveal the conditions that they experience daily."
41,Silent Snow,2011,71 min,"
Documentary, Adventure, Biography            ",7.7,NA,Jan van den Berg,Pipaluk Knudsen-Ostermann,44,"The Arctic plains are an eminent example of nature's untouched beauty, an endless nothing in which only few know how to survive. But dangerous pesticides are silently accumulating here, ...                See full summary »"
